"locationid","locationname","time","s0001","s0002","s0005","s0010","s0025","s0050","s0100","s0250","s0500","s1000","surgedist_location","surgedist_scale","surgedist_number_events","surgedist_shape","surgedist_type"
"CLS_USA_00664","5777",1995,0.625547464025488,0.705984726025906,0.705984726025906,0.854900534502942,0.972972434832052,1.08773401678412,1.23121973644485,1.23121973644485,1.23121973644485,2.02605271012365,0.490289856588691,0.050557632418821,1,0.329366994658713,"GEV"
"CLS_USA_00665","5777",1995,0.625547464025488,0.705984726025906,0.705984726025906,0.854900534502942,0.972972434832052,1.08773401678412,1.23121973644485,1.23121973644485,1.23121973644485,2.02605271012365,0.490289856588691,0.050557632418821,1,0.329366994658713,"GEV"
"CLS_USA_00666","5777",1995,0.616347464025488,0.696784726025905,0.696784726025905,0.845700534502942,0.963772434832052,1.07853401678412,1.22201973644485,1.22201973644485,1.22201973644485,2.01685271012365,0.490289856588691,0.050557632418821,1,0.329366994658713,"GEV"
"CLS_USA_00667","5783",1995,0.608899374990592,0.696498565865711,0.696498565865711,0.848641856360472,0.963900534678486,1.07288212094441,1.20595157708321,1.20595157708321,1.20595157708321,1.90362371457506,0.47263412003357,0.0541575532907681,1,0.295559059285644,"GEV"
"CLS_USA_00668","557",1995,0.632406194710882,0.717235190664242,0.717235190664242,0.868201107426016,0.984576731455934,1.09577838038421,1.23279140175736,1.23279140175736,1.23279140175736,1.96634112127533,0.493855345080216,0.0527784541633666,1,0.308459654648541,"GEV"
"CLS_USA_00669","557",1995,0.632406194710882,0.717235190664242,0.717235190664242,0.868201107426016,0.984576731455934,1.09577838038421,1.23279140175736,1.23279140175736,1.23279140175736,1.96634112127533,0.493855345080216,0.0527784541633666,1,0.308459654648541,"GEV"
"CLS_USA_00670","5796",1995,0.610606214603187,0.724406561829807,0.724406561829807,0.903670947754051,1.03027770567522,1.14504075615098,1.2801853598254,1.2801853598254,1.2801853598254,1.93213838026866,0.483522117664013,0.0685576788192096,1,0.243868743682413,"GEV"
"CLS_USA_00671","5786",1995,0.652718294381851,0.844720098842152,0.844720098842152,1.13456291287975,1.3330642457891,1.50970900344778,1.7144655605189,1.7144655605189,1.7144655605189,2.66733095117321,0.588665627746114,0.114341955765367,1,0.221326319768968,"GEV"
"CLS_USA_00672","5786",1995,0.640218294381851,0.832220098842152,0.832220098842152,1.12206291287975,1.3205642457891,1.49720900344778,1.7019655605189,1.7019655605189,1.7019655605189,2.65483095117321,0.588665627746114,0.114341955765367,1,0.221326319768968,"GEV"
"CLS_USA_00673","5788",1995,0.651774326637116,0.820369452734431,0.820369452734431,1.11401386084136,1.33691797701132,1.5479392685086,1.80587147823203,1.80587147823203,1.80587147823203,3.1614638072173,0.563579923650744,0.104309419658416,1,0.297051259925335,"GEV"
"CLS_USA_00674","5788",1995,0.651774326637116,0.820369452734431,0.820369452734431,1.11401386084136,1.33691797701132,1.5479392685086,1.80587147823203,1.80587147823203,1.80587147823203,3.1614638072173,0.563579923650744,0.104309419658416,1,0.297051259925335,"GEV"
"CLS_USA_00675","5400",1995,1.40068567127648,1.63694622242751,1.63694622242751,1.96798653109385,2.18275990405996,2.36780819707959,2.57645737392179,2.57645737392179,2.57645737392179,3.48863137568832,1.73440584857909,0.137835702431671,1,0.181874052210146,"GEV"
