"locationid","locationname","time","s0001","s0002","s0005","s0010","s0025","s0050","s0100","s0250","s0500","s1000","surgedist_location","surgedist_scale","surgedist_number_events","surgedist_shape","surgedist_type"
"CLS_ALB_00009","14669",1995,0.0120024666108783,0.0877757807154426,0.0877757807154426,0.153970175934723,0.184206293286813,0.205408025823608,0.225471683862526,0.225471683862526,0.225471683862526,0.285371153074283,0.215180140457346,0.0383885640531035,5,-0.0681501480994733,"GEV"
"CLS_ALB_00010","1420",1995,0.03700596839464,0.11096118355916,0.11096118355916,0.18698044176876,0.226224047635179,0.255771178712855,0.28547088746155,0.28547088746155,0.28547088746155,0.386293777601566,0.261067241705048,0.0394157548685495,5,0.0179249273684989,"GEV"
"CLS_ALB_00011","1426",1995,0.0450292062662416,0.113197775132664,0.113197775132664,0.190275223444718,0.232989958685491,0.266515732681601,0.301426896365149,0.301426896365149,0.301426896365149,0.429383706799795,0.246421355786473,0.0373883634401892,5,0.0683565677095653,"GEV"
"CLS_ALB_00012","1428",1995,0.0271780812768073,0.102323622714184,0.102323622714184,0.170719647694986,0.202945724462226,0.225952610577486,0.248058363533511,0.248058363533511,0.248058363533511,0.316209029662798,0.235407373688001,0.0385685322564359,5,-0.0464375541278288,"GEV"
"CLS_ALB_00013","1414",1995,0.0269811940042735,0.0958662821235942,0.0958662821235942,0.176811317501572,0.222966273023138,0.259804939884019,0.298717595759996,0.298717595759996,0.298717595759996,0.445870152285891,0.269330374900529,0.0382133100907502,5,0.0887335627612353,"GEV"
"CLS_ALB_00014","1409",1995,0.0251255284610838,0.0937158664059951,0.0937158664059951,0.175708124581909,0.223055853751291,0.261129639452097,0.301603449519234,0.301603449519234,0.301603449519234,0.456813439740124,0.272545672373644,0.0382413501423131,5,0.0978060816270641,"GEV"
"CLS_ALB_00015","1422",1995,0.0295108084292247,0.102661902108149,0.102661902108149,0.176901835868979,0.214863272242095,0.243286311426318,0.271721341252516,0.271721341252516,0.271721341252516,0.367273368190257,0.2529989324559,0.0388356701684224,5,0.0111771793780456,"GEV"
"CLS_ARE_00000","3064",1995,1.64067226180658,1.80321039409531,1.80321039409531,1.97390904657189,2.06345236811786,2.13150553382155,2.20045666600838,2.20045666600838,2.20045666600838,2.43858228420569,1.25128040072993,0.0871944565962462,5,0.0292809014404802,"GEV"
"CLS_ARE_00001","3057",1995,1.57428407171199,1.693977085914,1.693977085914,1.80859045368677,1.86469638794001,1.90565088250404,1.94574875359152,1.94574875359152,1.94574875359152,2.07441165861208,1.15718284684967,0.0624156907044204,5,-0.0195873535202672,"GEV"
"CLS_ARE_00002","3049",1995,1.83765044152,1.91954460255181,1.91954460255181,1.99564289244237,2.03206232136279,2.05829966818763,2.08370369493446,2.08370369493446,2.08370369493446,2.16330859383466,1.361239071078,0.0423065956117058,5,-0.0354798322782027,"GEV"
"CLS_ARE_00003","782",1995,1.56167153252431,1.67942457029011,1.67942457029011,1.78789332254697,1.83946450069067,1.87647590706636,1.91219604032787,1.91219604032787,1.91219604032787,2.02336102280649,1.1434526120749,0.0606650890548752,5,-0.0400965077224524,"GEV"
"CLS_ARE_00004","3048",1995,1.81927323515651,1.90119850972409,1.90119850972409,1.97725407616121,2.01362725084422,2.03982048293113,2.06517294411111,2.06517294411111,2.06517294411111,2.1445573877364,1.35169307335715,0.042310188027902,5,-0.0359779486905801,"GEV"
"CLS_ARE_00005","3063",1995,1.71273388975329,1.8818969292537,1.8818969292537,2.06025186202411,2.15408573446635,2.2255220141468,2.29800634121853,2.29800634121853,2.29800634121853,2.54912296625211,1.32810479627147,0.0908563773351753,5,0.0313581667512827,"GEV"
"CLS_ARE_00006","3052",1995,1.59681509410329,1.70205040275467,1.70205040275467,1.80221712559232,1.85103053767805,1.88656853530668,1.92128591268416,1.92128591268416,1.92128591268416,2.03215741111959,1.1457584331047,0.0547742553181958,5,-0.022760506905358,"GEV"
"CLS_ARE_00007","3056",1995,1.56247284643896,1.67909050960208,1.67909050960208,1.78838234604803,1.84102448330173,1.87909070307157,1.91606457498739,1.91606457498739,1.91606457498739,2.03270492995819,1.14307623350896,0.0604056597716622,5,-0.0309703320086667,"GEV"
"CLS_ARE_00008","3051",1995,1.64907777683439,1.76981942529501,1.76981942529501,1.87346094584764,1.92017622292744,1.95268207988487,1.98324338222042,1.98324338222042,1.98324338222042,2.07324255945361,1.20433836617532,0.0608286566156666,5,-0.0774430236989487,"GEV"
"CLS_ARE_00009","3059",1995,1.5975921783362,1.73030064733344,1.73030064733344,1.86234799163929,1.9288764708501,1.9782602977981,2.02730409437335,2.02730409437335,2.02730409437335,2.18953465175663,1.19573090068917,0.0700285745227249,5,0.000716265725661647,"GEV"
